
alto	480
ancho	640

X=80	y=495

X=80	y=496

X=81	y=485

X=81	y=486

X=81	y=487

X=81	y=488

X=81	y=489

X=81	y=490

X=81	y=491

X=81	y=492

X=81	y=493

X=81	y=494

X=81	y=495

X=81	y=496

X=81	y=497

X=81	y=498

X=81	y=499

X=81	y=500

X=81	y=501

X=81	y=502

X=81	y=503

X=81	y=504

X=81	y=505

X=81	y=506

X=82	y=480

X=82	y=481

X=82	y=482

X=82	y=483

X=82	y=484

X=82	y=485

X=82	y=486

X=82	y=487

X=82	y=488

X=82	y=489

X=82	y=490

X=82	y=491

X=82	y=492

X=82	y=493

X=82	y=494

X=82	y=495

X=82	y=496

X=82	y=497

X=82	y=498

X=82	y=499

X=82	y=500

X=82	y=501

X=82	y=502

X=82	y=503

X=82	y=504

X=82	y=505

X=82	y=506

X=82	y=507

X=82	y=508

X=82	y=509

X=82	y=510

X=82	y=511

X=83	y=476

X=83	y=477

X=83	y=478

X=83	y=479

X=83	y=480

X=83	y=481

X=83	y=482

X=83	y=483

X=83	y=484

X=83	y=485

X=83	y=486

X=83	y=487

X=83	y=488

X=83	y=489

X=83	y=490

X=83	y=491

X=83	y=492

X=83	y=493

X=83	y=494

X=83	y=495

X=83	y=496

X=83	y=497

X=83	y=498

X=83	y=499

X=83	y=500

X=83	y=501

X=83	y=502

X=83	y=503

X=83	y=504

X=83	y=505

X=83	y=506

X=83	y=507

X=83	y=508

X=83	y=509

X=83	y=510

X=83	y=511

X=83	y=512

X=83	y=513

X=83	y=514

X=83	y=515

X=84	y=473

X=84	y=474

X=84	y=475

X=84	y=476

X=84	y=477

X=84	y=478

X=84	y=479

X=84	y=480

X=84	y=481

X=84	y=482

X=84	y=483

X=84	y=484

X=84	y=485

X=84	y=486

X=84	y=487

X=84	y=488

X=84	y=489

X=84	y=490

X=84	y=491

X=84	y=492

X=84	y=493

X=84	y=494

X=84	y=495

X=84	y=496

X=84	y=497

X=84	y=498

X=84	y=499

X=84	y=500

X=84	y=501

X=84	y=502

X=84	y=503

X=84	y=504

X=84	y=505

X=84	y=506

X=84	y=507

X=84	y=508

X=84	y=509

X=84	y=510

X=84	y=511

X=84	y=512

X=84	y=513

X=84	y=514

X=84	y=515

X=84	y=516

X=84	y=517

X=84	y=518

X=85	y=471

X=85	y=472

X=85	y=473

X=85	y=474

X=85	y=475

X=85	y=476

X=85	y=477

X=85	y=478

X=85	y=479

X=85	y=480

X=85	y=481

X=85	y=482

X=85	y=483

X=85	y=484

X=85	y=485

X=85	y=486

X=85	y=487

X=85	y=488

X=85	y=489

X=85	y=490

X=85	y=491

X=85	y=492

X=85	y=493

X=85	y=494

X=85	y=495

X=85	y=496

X=85	y=497

X=85	y=498

X=85	y=499

X=85	y=500

X=85	y=501

X=85	y=502

X=85	y=503

X=85	y=504

X=85	y=505

X=85	y=506

X=85	y=507

X=85	y=508

X=85	y=509

X=85	y=510

