
alto	480
ancho	640

X=495	y=80

X=496	y=80

X=484	y=81

X=485	y=81

X=486	y=81

X=487	y=81

X=488	y=81

X=489	y=81

X=490	y=81

X=491	y=81

X=492	y=81

X=493	y=81

X=494	y=81

X=495	y=81

X=496	y=81

X=497	y=81

X=498	y=81

X=499	y=81

X=500	y=81

X=501	y=81

X=502	y=81

X=503	y=81

X=504	y=81

X=505	y=81

X=506	y=81

X=507	y=81

X=479	y=82

X=480	y=82

X=481	y=82

X=482	y=82

X=483	y=82

X=484	y=82

X=485	y=82

X=486	y=82

X=487	y=82

X=488	y=82

X=489	y=82

X=490	y=82

X=491	y=82

X=492	y=82

X=493	y=82

X=494	y=82

X=495	y=82

X=496	y=82

X=497	y=82

X=498	y=82

X=499	y=82

X=500	y=82

X=501	y=82

X=502	y=82

X=503	y=82

X=504	y=82

X=505	y=82

X=506	y=82

X=507	y=82

X=508	y=82

X=509	y=82

X=510	y=82

X=511	y=82

X=512	y=82

X=476	y=83

X=477	y=83

X=478	y=83

X=479	y=83

X=480	y=83

X=481	y=83

X=482	y=83

X=483	y=83

X=484	y=83

X=485	y=83

X=486	y=83

X=487	y=83

X=488	y=83

X=489	y=83

X=490	y=83

X=491	y=83

X=492	y=83

X=493	y=83

X=494	y=83

X=495	y=83

X=496	y=83

X=497	y=83

X=498	y=83

X=499	y=83

X=500	y=83

X=501	y=83

X=502	y=83

X=503	y=83

X=504	y=83

X=505	y=83

X=506	y=83

X=507	y=83

X=508	y=83

X=509	y=83

X=510	y=83

X=511	y=83

X=512	y=83

X=513	y=83

X=514	y=83

X=515	y=83

X=473	y=84

X=474	y=84

X=475	y=84

X=476	y=84

X=477	y=84

X=478	y=84

X=479	y=84

X=480	y=84

X=481	y=84

X=482	y=84

X=483	y=84

X=484	y=84

X=485	y=84

X=486	y=84

X=487	y=84

X=488	y=84

X=489	y=84

X=490	y=84

X=491	y=84

X=492	y=84

X=493	y=84

X=494	y=84

X=495	y=84

X=496	y=84

X=497	y=84

X=498	y=84

X=499	y=84

X=500	y=84

X=501	y=84

X=502	y=84

X=503	y=84

X=504	y=84

X=505	y=84

X=506	y=84

X=507	y=84

X=508	y=84

X=509	y=84

X=510	y=84

X=511	y=84

X=512	y=84

X=513	y=84

X=514	y=84

X=515	y=84

X=516	y=84

X=517	y=84

X=518	y=84

X=470	y=85

X=471	y=85

X=472	y=85

X=473	y=85

X=474	y=85

X=475	y=85

X=476	y=85

X=477	y=85

X=478	y=85

X=479	y=85

X=480	y=85

X=481	y=85

X=482	y=85

X=483	y=85

X=484	y=85

X=485	y=85

X=486	y=85

X=487	y=85

X=488	y=85

X=489	y=85

X=490	y=85

X=491	y=85

X=492	y=85

X=493	y=85

X=494	y=85

X=495	y=85

X=496	y=85

X=497	y=85

X=498	y=85

X=499	y=85

X=500	y=85

X=501	y=85

X=502	y=85

X=503	y=85

X=504	y=85

X=505	y=85

